"Visible items","Visible items"
"Invisible items","Invisible items"
"per page","per page"
"of %1","of %1"
"Next page","Next page"
Pinned,Pinned
Auto,Auto
"Remove product","Remove product"
"Product image","Product image"
"Enable Auto Sorting","Enable Auto Sorting"
"Enable Manual Sorting","Enable Manual Sorting"
page,page
"Move to top","Move to top"
Copied!,Copied!
"Min value is ""%1""","Min value is ""%1"""
"Max value is ""%1""","Max value is ""%1"""
"Please choose page other than the current","Please choose page other than the current"
