"No recently views items","No recently views items"
"Clear All","Clear All"
"Recently Viewed Bar","Advanced Recently Viewed Bar"
"General Settings","General Settings"
"Enable Advanced Recently Viewed","Enable Advanced Recently Viewed"
"Display On","Display On"
"Show Attributes","Show Attributes"
"Show Buttons","Show Buttons"
"Enable CMS Block","Enable CMS Block"
"Display Mode","Display Mode"
"Button Color","Button Color"
"Button Text Color","Button Text Color"
"Button Label","Button Label"
"Number of items in Recently Viewed Block","Number of items in Recently Viewed Block"
